REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
CR,DIST_COK,1,2019,2.6432
CR,DIST_COK,1,2020,2.6944
CR,DIST_COK,1,2021,2.7455
CR,DIST_COK,1,2022,2.7977
CR,DIST_COK,1,2023,2.8509
CR,DIST_COK,1,2024,2.9051
CR,DIST_COK,1,2025,2.9603
CR,DIST_COK,1,2026,3.0165
CR,DIST_COK,1,2027,3.0738
CR,DIST_COK,1,2028,3.1322
CR,DIST_COK,1,2029,3.1917
CR,DIST_COK,1,2030,3.2523
CR,DIST_COK,1,2031,3.3141
CR,DIST_COK,1,2032,3.3771
CR,DIST_COK,1,2033,3.4413
CR,DIST_COK,1,2034,3.5067
CR,DIST_COK,1,2035,3.5733
CR,DIST_COK,1,2036,3.6412
CR,DIST_COK,1,2037,3.7104
CR,DIST_COK,1,2038,3.7809
CR,DIST_COK,1,2039,3.8527
CR,DIST_COK,1,2040,3.9259
CR,DIST_COK,1,2041,4.0005
CR,DIST_COK,1,2042,4.0765
CR,DIST_COK,1,2043,4.154
CR,DIST_COK,1,2044,4.2329
CR,DIST_COK,1,2045,4.3133
CR,DIST_COK,1,2046,4.3953
CR,DIST_COK,1,2047,4.4788
CR,DIST_COK,1,2048,4.5639
CR,DIST_COK,1,2049,4.6506
CR,DIST_COK,1,2050,4.739
CR,DIST_DSL,1,2018,13.2688
CR,DIST_DSL,1,2019,11.9222
CR,DIST_DSL,1,2020,8.5117
CR,DIST_DSL,1,2021,11.9222
CR,DIST_DSL,1,2022,12.1487
CR,DIST_DSL,1,2023,12.3795
CR,DIST_DSL,1,2024,12.6147
CR,DIST_DSL,1,2025,12.8544
CR,DIST_DSL,1,2026,13.0986
CR,DIST_DSL,1,2027,13.3475
CR,DIST_DSL,1,2028,13.6011
CR,DIST_DSL,1,2029,13.8595
CR,DIST_DSL,1,2030,14.1228
CR,DIST_DSL,1,2031,14.3911
CR,DIST_DSL,1,2032,14.6645
CR,DIST_DSL,1,2033,14.9431
CR,DIST_DSL,1,2034,15.227
CR,DIST_DSL,1,2035,15.5163
CR,DIST_DSL,1,2036,15.8111
CR,DIST_DSL,1,2037,16.1115
CR,DIST_DSL,1,2038,16.4176
CR,DIST_DSL,1,2039,16.7295
CR,DIST_DSL,1,2040,17.0474
CR,DIST_DSL,1,2041,17.3713
CR,DIST_DSL,1,2042,17.7014
CR,DIST_DSL,1,2043,18.0377
CR,DIST_DSL,1,2044,18.3804
CR,DIST_DSL,1,2045,18.7296
CR,DIST_DSL,1,2046,19.0855
CR,DIST_DSL,1,2047,19.4481
CR,DIST_DSL,1,2048,19.8176
CR,DIST_DSL,1,2049,20.1941
CR,DIST_DSL,1,2050,20.5778
CR,DIST_LPG,1,2018,12.2979
CR,DIST_LPG,1,2019,8.322
CR,DIST_LPG,1,2020,6.524
CR,DIST_LPG,1,2021,8.322
CR,DIST_LPG,1,2022,8.4801
CR,DIST_LPG,1,2023,8.6412
CR,DIST_LPG,1,2024,8.8054
CR,DIST_LPG,1,2025,8.9727
CR,DIST_LPG,1,2026,9.1432
CR,DIST_LPG,1,2027,9.3169
CR,DIST_LPG,1,2028,9.4939
CR,DIST_LPG,1,2029,9.6743
CR,DIST_LPG,1,2030,9.8581
CR,DIST_LPG,1,2031,10.0454
CR,DIST_LPG,1,2032,10.2363
CR,DIST_LPG,1,2033,10.4308
CR,DIST_LPG,1,2034,10.629
CR,DIST_LPG,1,2035,10.831
CR,DIST_LPG,1,2036,11.0368
CR,DIST_LPG,1,2037,11.2465
CR,DIST_LPG,1,2038,11.4602
CR,DIST_LPG,1,2039,11.6779
CR,DIST_LPG,1,2040,11.8998
CR,DIST_LPG,1,2041,12.1259
CR,DIST_LPG,1,2042,12.3563
CR,DIST_LPG,1,2043,12.5911
CR,DIST_LPG,1,2044,12.8303
CR,DIST_LPG,1,2045,13.0741
CR,DIST_LPG,1,2046,13.3225
CR,DIST_LPG,1,2047,13.5756
CR,DIST_LPG,1,2048,13.8335
CR,DIST_LPG,1,2049,14.0963
CR,DIST_LPG,1,2050,14.3641
