REGION,FUEL,TIMESLICE,YEAR,VALUE
CR,E5COMLPG,All,2043,1.0
CR,E5COMLPG,All,2044,1.0
CR,E5COMLPG,All,2045,1.0
CR,E5COMLPG,All,2046,1.0
CR,E5COMLPG,All,2047,1.0
CR,E5COMLPG,All,2048,1.0
CR,E5COMLPG,All,2049,1.0
CR,E5COMLPG,All,2050,1.0
CR,E5RESELE,All,2018,1.0
CR,E5RESELE,All,2019,1.0
CR,E5RESELE,All,2020,1.0
CR,E5RESELE,All,2021,1.0
CR,E5RESELE,All,2022,1.0
CR,E5RESELE,All,2023,1.0
CR,E5RESELE,All,2024,1.0
CR,E5RESELE,All,2025,1.0
CR,E5RESELE,All,2026,1.0
CR,E5RESELE,All,2027,1.0
CR,E5RESELE,All,2028,1.0
CR,E5RESELE,All,2029,1.0
CR,E5RESELE,All,2030,1.0
CR,E5RESELE,All,2031,1.0
CR,E5RESELE,All,2032,1.0
CR,E5RESELE,All,2033,1.0
CR,E5RESELE,All,2034,1.0
CR,E5RESELE,All,2035,1.0
CR,E5RESELE,All,2036,1.0
CR,E5RESELE,All,2037,1.0
CR,E5RESELE,All,2038,1.0
CR,E5RESELE,All,2039,1.0
CR,E5RESELE,All,2040,1.0
CR,E5RESELE,All,2041,1.0
CR,E5RESELE,All,2042,1.0
CR,E5RESELE,All,2043,1.0
CR,E5RESELE,All,2044,1.0
CR,E5RESELE,All,2045,1.0
CR,E5RESELE,All,2046,1.0
CR,E5RESELE,All,2047,1.0
CR,E5RESELE,All,2048,1.0
CR,E5RESELE,All,2049,1.0
CR,E5RESELE,All,2050,1.0
CR,E5PUBELE,All,2018,1.0
CR,E5PUBELE,All,2019,1.0
CR,E5PUBELE,All,2020,1.0
CR,E5PUBELE,All,2021,1.0
CR,E5PUBELE,All,2022,1.0
CR,E5PUBELE,All,2023,1.0
CR,E5PUBELE,All,2024,1.0
CR,E5PUBELE,All,2025,1.0
CR,E5PUBELE,All,2026,1.0
CR,E5PUBELE,All,2027,1.0
CR,E5PUBELE,All,2028,1.0
CR,E5PUBELE,All,2029,1.0
CR,E5PUBELE,All,2030,1.0
CR,E5PUBELE,All,2031,1.0
CR,E5PUBELE,All,2032,1.0
CR,E5PUBELE,All,2033,1.0
CR,E5PUBELE,All,2034,1.0
CR,E5PUBELE,All,2035,1.0
CR,E5PUBELE,All,2036,1.0
CR,E5PUBELE,All,2037,1.0
CR,E5PUBELE,All,2038,1.0
